nom;ca_2018;ca_2019;nbre_employe
Laoreet Corporation;12829825;99879668;8223
Cursus LLP;19075362;21611896;7041
Tellus Aenean Egestas Inc.;38701606;81556676;6065
Rutrum Justo Praesent LLP;2809079;28371252;984
Consectetuer Adipiscing Elit Inc.;29631087;92814751;8552
Eu Industries;50968824;84703600;2486
Non Bibendum Industries;12222720;15285161;5523
Ut Erat Company;64611358;65345595;4462
Integer Tincidunt Associates;45080834;73961620;3938
Nulla Dignissim LLC;15798222;82651976;9828
Posuere Associates;83500978;63453233;1204
Dictum Magna Ut PC;82021621;75299908;7376
Risus Ltd;7260574;16545856;8185
Nunc Laoreet Limited;19208758;82581206;4922
Nam Porttitor PC;31357128;95291630;1694
Arcu Eu Odio LLP;79161317;87696217;9337
Morbi Limited;1221682;10301220;2678
Id Ante Dictum Corporation;71045326;90729310;5203
Imperdiet Erat Nonummy LLC;50891804;4495805;5867
At Libero Ltd;62654688;68999453;2314
Morbi Accumsan Laoreet Company;21157231;30516548;4199
Vel Nisl Quisque Ltd;94141553;71038591;8212
Morbi Limited;17371090;32073462;2191
Justo LLC;25752183;52464323;2934
Augue Incorporated;8697594;15810799;673
Orci Luctus Et Incorporated;45016147;98970032;3837
Suscipit Nonummy Fusce Limited;96475600;65302652;1655
Eu Arcu Morbi Corp.;13438779;34051853;4650
Nec Corp.;34237885;64794770;6473
Quisque Purus Ltd;89350266;67220841;2278
In Consequat Enim Institute;28621678;92696439;6765
Magna A Industries;54194526;64348115;2979
Aenean Euismod Incorporated;60939930;21029780;4770
Purus LLP;4627213;27934862;6296
Nunc Limited;78511377;33632530;1159
Ipsum Suspendisse Industries;17669874;95646529;3583
Nullam LLC;90152477;1555401;6894
Nunc Corporation;38908336;5605063;9255
Velit Corp.;86116997;1256458;2229
Interdum Ltd;6209392;70539415;6271
Sit Amet Faucibus Corporation;84688922;71507965;5527
Magna Nec Quam Company;79304678;84749766;7721
Maecenas Malesuada Institute;5827974;2182196;6788
Interdum Nunc Limited;12710384;78047611;9674
Sed Company;26043138;82544383;3205
Laoreet Libero Et Corporation;6219400;72690950;8166
Nulla Corporation;56778068;49204442;4799
Eu Euismod Ac Industries;73753544;89699679;6835
Enim Mi Inc.;72154645;97204012;8604
Rhoncus Donec Industries;69727001;17970271;9666
Nunc Foundation;40060602;48108997;3178
Sem Corporation;72128807;53586799;2137
Sed Neque Inc.;63778493;26242436;5006
Felis Eget Varius Inc.;97973047;13864902;2740
Arcu Vivamus Sit Industries;38692947;73019173;706
Tempor Augue Incorporated;33691748;26940305;6161
Sed Eu Eros PC;30602687;71959202;1127
Quis Turpis Vitae Inc.;53021615;48825202;4125
Tellus Aenean Egestas Company;63755075;52574607;1895
Suspendisse Dui Fusce Incorporated;49051182;62259073;694
In Industries;96064459;62711445;8945
Et Libero Ltd;17830732;97796653;1528
Lacus Corp.;21218354;65424862;3589
Sit Amet Company;54902102;96545833;8164
Convallis Corp.;27305383;67577081;2061
Quis Massa Mauris LLP;78071148;26621035;5548
Magna A PC;24899885;23559690;7712
Massa Lobortis Corporation;59502186;53482077;4434
Est Associates;13725817;21416655;5054
Mauris A Nunc Industries;26985058;52168343;7591
Aenean Egestas Associates;58329756;90741820;9300
Facilisis Limited;59780047;51152279;1596
Donec Foundation;89918291;38291340;5357
Nonummy Corporation;57173059;40939496;1885
Accumsan Company;85146007;42046818;1850
Urna Inc.;40128546;84500579;7555
Semper LLP;1174087;85567626;3424
Tellus Aenean Egestas Corp.;63710658;48798465;9029
Tincidunt Limited;15384148;57957760;6652
Eu Ltd;12897850;29015751;6683
Quisque Varius Company;81637201;74611263;2645
Fusce Mollis Duis Consulting;48046350;93413034;8738
Tempus LLC;52013055;62278361;8402
Gravida Sit Amet Limited;33264246;59248647;5315
Magnis Dis LLP;58257122;26922807;5948
Tincidunt Donec Limited;89946602;89419892;7568
Consequat Purus Corporation;80060451;42158685;985
Est Ac Industries;64675067;74009841;9391
Bibendum Company;83051179;89270673;6421
Maecenas LLP;34934250;92045984;8083
Mauris Magna Ltd;70075448;95476031;5338
Eu Incorporated;60713563;79510542;2898
Phasellus Elit Incorporated;75195276;17259878;9155
Vitae Ltd;84551668;55303341;6021
Dis Parturient Montes Incorporated;57299078;90769063;626
Vulputate Dui Foundation;15962656;34504968;643
Dictum Phasellus In LLP;49838061;59530125;3551
Aenean Massa Integer LLP;17441963;83421320;7508
Pede LLP;90662213;40971181;4733
Consectetuer Euismod Corp.;91205201;28622080;5377
